J'  k'     J"  k"  s' s"   OBS/CM-1    CALC/CM-1  OBS-CALC/CM-1  WEIGHT      UNC/CM-1        OBS/MHZ        CALC/MHZ    OBS-CALC/MHZ
 3   1      2   1    a a    30.836200    30.836335   -0.000135   0.250E+06    0.00141421     924446.019      924450.072      -4.053   
 3   1      2   1    a a    30.836330    30.836335   -0.000005   0.250E+06    0.00141421     924449.917      924450.072      -0.156   
 3   1      2   1    s s    30.837310    30.837351   -0.000041   0.250E+06    0.00141421     924479.296      924480.520      -1.224   
 3   1      2   1    a a    30.837013    30.836335    0.000678   0.208E+07    0.00056569     924470.392      924450.072      20.320   
 3   1      2   1    s s    30.838389    30.837351    0.001038   0.313E+07    0.00056569     924511.644      924480.520      31.123   
 3   1      2   1    a a    30.835830    30.836335   -0.000505   0.333E+06    0.00141421     924434.927      924450.072     -15.145   
 3   2      2   1    a s    24.891440    24.883509    0.007931   0.167E+06   0.00173205      746226.598      745988.828     237.770   
 3   1      2   1    a a    30.836422    30.836335    0.000087   0.208E+07    0.00056569     924452.675      924450.072       2.602   
 3   1      2   1    a a    30.836990    30.836335    0.000655   0.333E+06    0.00141421     924469.703      924450.072      19.631   
 3   1      2   1    s s    30.837180    30.837351   -0.000171   0.333E+06    0.00141421     924475.399      924480.520      -5.121   
 3   1      2   1    s s    30.838020    30.837351    0.000669   0.208E+07    0.00056569     924500.582      924480.520      20.061   
 3   1      2   1    a a    30.837646    30.836335    0.001311   0.413E+05    0.00401995     924489.369      924450.072      39.297   
 3   1      2   1    s s    30.837860    30.837351    0.000509   0.333E+06    0.00141421     924495.785      924480.520      15.264   
 3   1      2   1    a a    30.836190    30.836335   -0.000145   0.250E+06    0.00141421     924445.720      924450.072      -4.353   
 3   1      2   1    s s    30.837190    30.837351   -0.000161   0.333E+06    0.00141421     924475.699      924480.520      -4.822   
 3   1      2   1    a a    30.836616    30.836335    0.000281   0.208E+07    0.00056569     924458.491      924450.072       8.418   
 3   1      2   1    s s    30.839740    30.837351    0.002389   0.333E+06    0.00141421     924552.146      924480.520      71.625   
 3   1      2   1    s s    30.837342    30.837351   -0.000009   0.208E+07    0.00056569     924480.256      924480.520      -0.265   
 3   1      2   1    s s    30.837260    30.837351   -0.000091   0.333E+06    0.00141421     924477.797      924480.520      -2.723   
 3   1      2   1    s s    30.833030    30.837351   -0.004321   0.250E+06   0.00141421      924350.985      924480.520    -129.535   
 4   4      2   1    a s    41.946760    41.945199    0.001561   0.125E+06    0.00200000    1257532.229     1257485.430      46.799   
 4   1      2   1    a a    71.940030    71.929489    0.010541   0.200E+06   0.00141421     2156707.842     2156391.838     316.004   
 4   2      2   1    s a    65.887760    65.881946    0.005814   0.200E+06   0.00141421     1975265.352     1975091.045     174.307   
 4   1      2   1    s s    71.931830    71.931827    0.000003   0.222E+06    0.00173205    2156462.012     2156461.909       0.104   
 4   1      2   1    s s    71.932070    71.931827    0.000243   0.139E+07    0.00069282    2156469.207     2156461.909       7.299   
 4   1      2   1    a a    71.929420    71.929489   -0.000069   0.222E+06    0.00173205    2156389.762     2156391.838      -2.076   
 4   1      2   1    a a    71.929810    71.929489    0.000321   0.139E+07    0.00069282    2156401.454     2156391.838       9.616   
 4   1      2   1    a a    71.927890    71.929489   -0.001599   0.222E+06    0.00173205    2156343.894     2156391.838     -47.944   
 4   1      2   1    s s    71.932270    71.931827    0.000443   0.167E+06    0.00173205    2156475.203     2156461.909      13.294   
 4   1      2   1    a a    71.929460    71.929489   -0.000029   0.167E+06    0.00173205    2156390.962     2156391.838      -0.876   
 4   1      2   1    a a    71.928310    71.929489   -0.001179   0.222E+06    0.00173205    2156356.485     2156391.838     -35.353   
 4   1      2   1    a a    71.929550    71.929489    0.000061   0.167E+06    0.00173205    2156393.660     2156391.838       1.822   
 4   1      2   1    s s    71.928310    71.931827   -0.003517   0.222E+06    0.00173205    2156356.485     2156461.909    -105.423   
 4   1      2   1    s s    71.932016    71.931827    0.000189   0.139E+07    0.00069282    2156467.589     2156461.909       5.680   
 4   4      2   1    a s    41.947620    41.945199    0.002421   0.125E+06    0.00200000    1257558.011     1257485.430      72.581   
 4   1      2   1    s s    71.931770    71.931827   -0.000057   0.167E+06    0.00173205    2156460.214     2156461.909      -1.695   
 4   4      2   1    s a    41.844500    41.839081    0.005419   0.250E+06   0.00141421     1254466.551     1254304.086     162.465   
 4   4      2   1    a s    41.949190    41.945199    0.003991   0.222E+06    0.00173205    1257605.078     1257485.430     119.648   
 4   1      2   1    s s    71.932554    71.931827    0.000727   0.104E+07    0.00069282    2156483.717     2156461.909      21.809   
 4   4      2   1    s a    41.846160    41.839081    0.007079   0.250E+06   0.00141421     1254516.316     1254304.086     212.231   
 4   1      2   1    s s    71.931750    71.931827   -0.000077   0.167E+06    0.00173205    2156459.614     2156461.909      -2.295   
 4   1      2   1    a a    71.929610    71.929489    0.000121   0.167E+06    0.00173205    2156395.458     2156391.838       3.620   
 4   1      2   1    a a    71.929617    71.929489    0.000128   0.139E+07    0.00069282    2156395.668     2156391.838       3.830   
 4   1      2   1    a a    71.929547    71.929489    0.000058   0.139E+07    0.00069282    2156393.570     2156391.838       1.732   
 4   1      2   1    a a    71.929401    71.929489   -0.000088   0.139E+07    0.00069282    2156389.193     2156391.838      -2.645   
 4   2      2   1    a s    65.985437    65.984980    0.000457   0.781E+06    0.00080000    1978193.635     1978179.924      13.711   
 4   1      2   1    s s    71.931660    71.931827   -0.000167   0.222E+06    0.00173205    2156456.916     2156461.909      -4.993   
 4   1      2   1    s s    71.931879    71.931827    0.000052   0.139E+07    0.00069282    2156463.481     2156461.909       1.573   
 2   1      2   2    a s     6.068750     6.064493    0.004257   0.167E+06    0.00173205     181936.548      181808.930     127.618   
 2   2      2   2    a s     0.053093     0.053093    0.000000   0.899E+13    0.00000033       1591.695        1591.693       0.002   
 2   1      2   2    s a     5.958360     5.959086   -0.000726   0.333E+06    0.00141421     178627.139      178648.892     -21.753   
 2   1      2   2    s a     5.955010     5.959086   -0.004076   0.133E+06    0.00173205     178526.709      178648.892    -122.183   
 2   1      2   2    s a     5.957280     5.959086   -0.001806   0.167E+06    0.00173205     178594.761      178648.892     -54.130   
 2   1      2   2    a s     6.059240     6.064493   -0.005253   0.222E+06   0.00173205      181651.445      181808.930    -157.484   
 2   1      2   2    a s     6.064746     6.064493    0.000253   0.781E+06    0.00080000     181816.511      181808.930       7.581   
 2   1      2   2    a s     6.058810     6.064493   -0.005683   0.100E+06    0.00200000     181638.554      181808.930    -170.375   
 2   1      2   2    a s     6.060040     6.064493   -0.004453   0.250E+06   0.00141421      181675.429      181808.930    -133.501   
 3   2      2   2    a a    30.842650    30.842594    0.000056   0.333E+06    0.00141421     924639.385      924637.720       1.666   
 3   2      2   2    a a    30.842371    30.842594   -0.000223   0.313E+07    0.00056569     924631.021      924637.720      -6.699   
 3   2      2   2    s s    30.844580    30.843626    0.000954   0.208E+07    0.00056569     924697.245      924668.641      28.604   
 3   2      2   2    s s    30.843890    30.843626    0.000264   0.333E+06    0.00141421     924676.560      924668.641       7.918   
 3   2      2   2    s s    30.843300    30.843626   -0.000326   0.333E+06    0.00141421     924658.872      924668.641      -9.769   
 3   2      2   2    a a    30.842596    30.842594    0.000002   0.208E+07    0.00056569     924637.767      924637.720       0.047   
 3   2      2   2    s s    30.842440    30.843626   -0.001186   0.333E+06    0.00141421     924633.090      924668.641     -35.552   
 3   2      2   2    s s    30.843429    30.843626   -0.000197   0.156E+07    0.00056569     924662.739      924668.641      -5.902   
 3   2      2   2    s s    30.843810    30.843626    0.000184   0.200E+06    0.00141421     924674.161      924668.641       5.520   
 3   2      2   2    s a    30.790730    30.790533    0.000197   0.160E+08    0.00025000     923082.863      923076.948       5.915   
 3   2      2   2    a a    30.842880    30.842594    0.000286   0.333E+06    0.00141421     924646.281      924637.720       8.561   
 3   2      2   2    a a    30.841580    30.842594   -0.001014   0.208E+07    0.00056569     924607.308      924637.720     -30.412   
 3   2      2   2    a s    30.895450    30.895688   -0.000238   0.160E+08    0.00025000     926222.290      926229.413      -7.124   
 3   2      2   2    s s    30.843330    30.843626   -0.000296   0.500E+06    0.00141421     924659.771      924668.641      -8.870   
 3   2      2   2    a a    30.842660    30.842594    0.000066   0.500E+06    0.00141421     924639.685      924637.720       1.965   
 3   2      2   2    a a    30.841103    30.842594   -0.001491   0.500E+06    0.00141421     924593.008      924637.720     -44.712   
 3   2      2   2    a a    30.842640    30.842594    0.000046   0.250E+06    0.00141421     924639.086      924637.720       1.366   
 3   2      2   2    s s    30.843105    30.843626   -0.000521   0.413E+05    0.00401995     924653.026      924668.641     -15.615   
 3   2      2   2    s s    30.843938    30.843626    0.000312   0.313E+07    0.00056569     924677.999      924668.641       9.357   
 3   1      2   2    s a    36.803190    36.796436    0.006754   0.333E+06   0.00141421     1103331.879     1103129.412     202.467   
 3   2      2   2    a a    30.842590    30.842594   -0.000004   0.333E+06    0.00141421     924637.587      924637.720      -0.133   
 3   2      2   2    a a    30.842600    30.842594    0.000006   0.333E+06    0.00141421     924637.887      924637.720       0.167   
 3   1      2   2    a s    36.905070    36.900828    0.004242   0.125E+06    0.00200000    1106386.165     1106259.002     127.163   
 3   1      2   2    s a    36.799820    36.796436    0.003384   0.200E+06    0.00141421    1103230.849     1103129.412     101.437   
